"Population Projections by Sex, and Totals, 2010-2040 Wisconsin Counties, Final Release",,,,,,,,,,,,,,,,,,,,,
Vintage 2013 projections,,,,,,,,,,,,,,,,,,,,,
County Name,PopMale 2010,PopMale 2015,PopMale 2020,PopMale 2025,PopMale 2030,PopMale 2035,PopMale 2040,PopFem 2010,PopFem 2015,PopFem 2020,PopFem 2025,PopFem 2030,PopFem 2035,PopFem 2040,PopAll 2010,PopAll 2015,PopAll 2020,PopAll 2025,PopAll 2030,PopAll 2035,PopAll 2040
 Racine ," 96,771 ","  97,830 ","  100,940 ","  103,460 ","  105,480 ","  106,510 ","  105,770 ","  98,637 ","  99,690 ","  102,620 ","  105,200 ","  107,260 ","  108,440 ","  107,990 ","  195,408 ","  197,520 ","  203,560 ","  208,660 ","  212,740 ","  214,950 ","  213,760 "
 Richland ," 9,042 ","  9,105 ","  9,155 ","  9,200 ","  9,205 ","  9,175 ","  9,040 ","  8,979 ","  9,005 ","  9,120 ","  9,235 ","  9,370 ","  9,450 ","  9,340 ","  18,021 ","  18,110 ","  18,275 ","  18,435 ","  18,575 ","  18,625 ","  18,380 "
 Rock ," 78,815 ","  80,070 ","  83,300 ","  85,780 ","  88,010 ","  89,380 ","  89,740 ","  81,516 ","  82,480 ","  85,830 ","  88,720 ","  91,350 ","  92,790 ","  93,120 ","  160,331 ","  162,550 ","  169,130 ","  174,500 ","  179,360 ","  182,170 ","  182,860 "
 Rusk ," 7,371 ","  7,420 ","  7,210 ","  7,135 ","  6,960 ","  6,800 ","  6,505 ","  7,384 ","  7,335 ","  7,230 ","  7,200 ","  7,145 ","  7,055 ","  6,805 ","  14,755 ","  14,755 ","  14,440 ","  14,335 ","  14,105 ","  13,855 ","  13,310 "
 Saint Croix ," 42,218 ","  44,030 ","  48,690 ","  52,500 ","  56,070 ","  58,230 ","  59,680 ","  42,127 ","  43,960 ","  48,295 ","  51,950 ","  55,400 ","  57,670 ","  59,330 ","  84,345 ","  87,990 ","  96,985 ","  104,450 ","  111,470 ","  115,900 ","  119,010 "
 Sauk ," 30,848 ","  31,800 ","  34,205 ","  36,475 ","  38,350 ","  39,195 ","  39,445 ","  31,128 ","  31,950 ","  33,870 ","  35,700 ","  37,310 ","  38,070 ","  38,370 ","  61,976 ","  63,750 ","  68,075 ","  72,175 ","  75,660 ","  77,265 ","  77,815 "
 Sawyer ," 8,393 ","  8,475 ","  8,695 ","  9,070 ","  9,325 ","  9,255 ","  8,970 ","  8,164 ","  8,215 ","  8,375 ","  8,575 ","  8,685 ","  8,640 ","  8,460 ","  16,557 ","  16,690 ","  17,070 ","  17,645 ","  18,010 ","  17,895 ","  17,430 "
 Shawano ," 20,921 ","  21,145 ","  21,695 ","  22,275 ","  22,735 ","  22,765 ","  22,440 ","  21,028 ","  21,110 ","  21,895 ","  22,810 ","  23,570 ","  23,760 ","  23,460 ","  41,949 ","  42,255 ","  43,590 ","  45,085 ","  46,305 ","  46,525 ","  45,900 "
 Sheboygan ," 58,010 ","  58,305 ","  60,700 ","  62,840 ","  64,610 ","  65,030 ","  64,120 ","  57,497 ","  57,610 ","  59,190 ","  60,560 ","  61,550 ","  61,800 ","  61,040 ","  115,507 ","  115,915 ","  119,890 ","  123,400 ","  126,160 ","  126,830 ","  125,160 "
 Taylor ," 10,559 ","  10,800 ","  11,060 ","  11,255 ","  11,340 ","  11,325 ","  11,250 ","  10,130 ","  10,310 ","  10,515 ","  10,645 ","  10,730 ","  10,770 ","  10,725 ","  20,689 ","  21,110 ","  21,575 ","  21,900 ","  22,070 ","  22,095 ","  21,975 "
 Trempealeau ," 14,638 ","  14,945 ","  15,755 ","  16,400 ","  16,915 ","  17,130 ","  17,165 ","  14,178 ","  14,415 ","  14,970 ","  15,440 ","  15,895 ","  16,110 ","  16,285 ","  28,816 ","  29,360 ","  30,725 ","  31,840 ","  32,810 ","  33,240 ","  33,450 "
 Vernon ," 14,854 ","  15,265 ","  16,145 ","  17,010 ","  17,830 ","  18,275 ","  18,440 ","  14,919 ","  15,150 ","  15,940 ","  16,715 ","  17,470 ","  17,875 ","  18,080 ","  29,773 ","  30,415 ","  32,085 ","  33,725 ","  35,300 ","  36,150 ","  36,520 "
 Vilas ," 10,861 ","  11,095 ","  11,575 ","  12,350 ","  12,925 ","  12,910 ","  12,640 ","  10,569 ","  10,745 ","  10,960 ","  11,295 ","  11,470 ","  11,395 ","  11,250 ","  21,430 ","  21,840 ","  22,535 ","  23,645 ","  24,395 ","  24,305 ","  23,890 "
 Walworth ," 51,237 ","  51,685 ","  54,805 ","  58,365 ","  61,365 ","  62,200 ","  62,220 ","  50,991 ","  51,670 ","  54,560 ","  57,740 ","  60,470 ","  61,270 ","  61,460 ","  102,228 ","  103,355 ","  109,365 ","  116,105 ","  121,835 ","  123,470 ","  123,680 "
 Washburn ," 7,924 ","  8,015 ","  8,515 ","  9,160 ","  9,610 ","  9,675 ","  9,395 ","  7,987 ","  7,995 ","  8,280 ","  8,615 ","  8,850 ","  8,825 ","  8,615 ","  15,911 ","  16,010 ","  16,795 ","  17,775 ","  18,460 ","  18,500 ","  18,010 "
 Washington ," 65,393 ","  66,610 ","  71,360 ","  75,370 ","  78,870 ","  80,390 ","  80,580 ","  66,494 ","  67,880 ","  72,780 ","  77,440 ","  81,410 ","  83,100 ","  83,310 ","  131,887 ","  134,490 ","  144,140 ","  152,810 ","  160,280 ","  163,490 ","  163,890 "
 Waukesha ," 191,355 ","  192,580 ","  202,940 ","  211,390 ","  219,120 ","  222,060 ","  221,560 ","  198,536 ","  199,710 ","  211,880 ","  222,840 ","  232,350 ","  235,630 ","  234,160 ","  389,891 ","  392,290 ","  414,820 ","  434,230 ","  451,470 ","  457,690 ","  455,720 "
 Waupaca ," 26,447 ","  27,190 ","  27,685 ","  28,700 ","  29,500 ","  29,330 ","  28,470 ","  25,963 ","  26,210 ","  26,790 ","  27,520 ","  27,960 ","  27,790 ","  27,200 ","  52,410 ","  53,400 ","  54,475 ","  56,220 ","  57,460 ","  57,120 ","  55,670 "
 Waushara ," 12,893 ","  13,020 ","  13,675 ","  14,485 ","  15,130 ","  15,195 ","  14,875 ","  11,603 ","  11,685 ","  12,185 ","  12,695 ","  13,100 ","  13,190 ","  13,115 ","  24,496 ","  24,705 ","  25,860 ","  27,180 ","  28,230 ","  28,385 ","  27,990 "
 Winnebago ," 83,952 ","  85,475 ","  89,600 ","  93,140 ","  96,240 ","  97,930 ","  98,670 ","  83,042 ","  84,450 ","  87,450 ","  90,090 ","  92,440 ","  93,780 ","  94,460 ","  166,994 ","  169,925 ","  177,050 ","  183,230 ","  188,680 ","  191,710 ","  193,130 "
 Wood ," 36,777 ","  36,670 ","  36,625 ","  36,600 ","  36,340 ","  35,960 ","  34,860 ","  37,972 ","  37,870 ","  37,810 ","  37,770 ","  37,590 ","  37,310 ","  36,290 ","  74,749 ","  74,540 ","  74,435 ","  74,370 ","  73,930 ","  73,270 ","  71,150 "
