Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
UNBL FP Equity,Unibel,EUR,FP,FR,Common Stock,1070,10.03333
SAMS FP Equity,Samse SA,EUR,FP,FR,Common Stock,208,216.3
0RA8 LI Equity,Elis SA,EUR,LI,FR,Common Stock,14.635,130025.3
ALBUD FP Equity,Mint SA,EUR,FP,FR,Common Stock,3.55,2510.333
UEN TH Equity,Ubisoft Entertainment SA,EUR,TH,FR,Common Stock,49,3936.367
ALSPW FP Equity,Spineway,EUR,FP,FR,Common Stock,0.0004,84046650
ALMRB FP Equity,Mr Bricolage SA,EUR,FP,FR,Common Stock,11,2626.5
NCYT LN Equity,Novacyt SA,GBp,LN,FR,Common Stock,155.1,171976.8
ALU FP Equity,Alcatel Lucent SAS,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
COM FP Equity,CNIM Groupe SA,EUR,FP,FR,Common Stock,#N/A N/A,0
ALGBE FP Equity,Global Bioenergies SA,EUR,FP,FR,Common Stock,4.52,10929.57
BNPP IX Equity,BNP Paribas SA,EUR,IX,FR,Common Stock,53.53,7311.3
CRTO FP Equity,Caisse Regionale de Credit Agricole Mutuel de la Touraine et du Poitou,EUR,FP,FR,Common Stock,74.5,166.9
ALGEV FP Equity,Gevelot SA,EUR,FP,FR,Common Stock,183,46
DZR FP Equity,Deezer SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALENE FP Equity,Enertime SA,EUR,FP,FR,Common Stock,1.976,20338.7
ALOSM FP Equity,Osmozis SAS,EUR,FP,FR,Common Stock,8.5,3468.233
ALTBM FP Equity,Les Toques Blanches Du Monde,EUR,FP,FR,Common Stock,0.145,7222.6
VK EU Equity,Vallourec SA,EUR,EU,FR,Common Stock,13.065,2833281
AIR GR Equity,Airbus SE,EUR,GR,FR,Common Stock,109.52,425352.7
ALALO FP Equity,Acheter-Louer.fr SADIR,EUR,FP,FR,Common Stock,0.0009,23277460
ALHIO FP Equity,Groupe Hiolle Industries,EUR,FP,FR,Common Stock,4.66,7895
2CRSI FP Equity,2CRSI SACA,EUR,FP,FR,Common Stock,4.18,11751.57
ALLAN FP Equity,Lanson-BCC,EUR,FP,FR,Common Stock,28.5,479.7
MLOEX FP Equity,ONE Experience SA,EUR,FP,FR,Common Stock,4.3,23557.23
OSE FP Equity,OSE Immuno,EUR,FP,FR,Common Stock,6.83,22958.17
TOTB TH Equity,TotalEnergies SE,EUR,TH,FR,Common Stock,54.6,53380.87
ALDAR FP Equity,Damartex SA,EUR,FP,FR,Common Stock,16,1066
ALPRO FP Equity,Prodware,EUR,FP,FR,Common Stock,8.14,103.1667
211718Z FP Equity,RCI Banque SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
EXPL FP Equity,SA d'Explosifs et Produits Chimiques,EUR,FP,FR,Common Stock,59.5,267.1333
ALCUR FP Equity,Arcure SA,EUR,FP,FR,Common Stock,3.68,2114.233
HAV FP Equity,Havas SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
