Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
CLB UN Equity,Core Laboratories NV,USD,UN,NL,Common Stock,28.18,117843.6328
ASME GR Equity,ASML Holding NV,EUR,GR,NL,Common Stock,535.1,5729.7
INN1 GY Equity,ING Groep NV,EUR,GY,NL,Common Stock,10.494,212549.1
STLAM IX Equity,Stellantis NV,EUR,IX,NL,Common Stock,14.032,5635.9
PBH NA Equity,PB Holding NV,EUR,NA,NL,Common Stock,3.28,3424.9
ASM1 EU Equity,ASM International NV,EUR,EU,NL,Common Stock,289.525,491221.8
EBUSEUR EU Equity,Ebusco Holding NV,EUR,EU,NL,Common Stock,24,89083.7
STRN E1 Equity,PB Holding NV,EUR,E1,NL,Common Stock,#N/A N/A,#N/A N/A
TIE NA Equity,Tie Kinetix,EUR,NA,NL,Common Stock,19.5,2064.2
KPN EU Equity,Koninklijke KPN NV,EUR,EU,NL,Common Stock,3.399,29600870
LIGHTEUR EU Equity,Signify NV,EUR,EU,NL,Common Stock,37.5,1404474
ASML LN Equity,ASML Holding NV,EUR,LN,NL,Common Stock,#N/A N/A,#N/A N/A
VEON-RX RX Equity,VEON Ltd,RUB,RX,NL,Common Stock,48.7,40960.67
AALBA S1 Equity,Aalberts NV,EUR,S1,NL,Common Stock,46.425,121.1667
QGEN UN Equity,QIAGEN NV,USD,UN,NL,Common Stock,45.95,227519.3281
NPMC NA Equity,NPM Capital NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
NNGPF US Equity,NN Group NV,USD,US,NL,Common Stock,49.75,360.5666809
DSMA EB Equity,Koninklijke DSM NV,EUR,EB,NL,Common Stock,158.387,171453.1
IEX NA Equity,IEX Group NV,EUR,NA,NL,Common Stock,1.85,258.4667
LVIDE NA Equity,Lavide Holding NV,EUR,NA,NL,Common Stock,0.41,8052.367
UMGA EB Equity,Universal Music Group NV,EUR,EB,NL,Common Stock,21.138,1160964
2974Z US Equity,Toyota Motor Finance Netherlands BV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
OCIN MM Equity,OCI NV,MXN,MM,NL,Common Stock,724,189.8
PHIAA EB Equity,Koninklijke Philips NV,EUR,EB,NL,Common Stock,23.829,1348457
SAEEUR EU Equity,Shop Apotheke Europe NV,EUR,EU,NL,Common Stock,99.24,255071.9
SINC US Equity,Sincerity Applied Materials Holdings Corp,USD,US,NL,Common Stock,0.665,8222.666992
T5W GR Equity,Just Eat Takeaway.com NV,EUR,GR,NL,Common Stock,20.605,1362.333
290787Z NA Equity,Van Lanschot Kempen NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
PHIA IM Equity,Koninklijke Philips NV,EUR,IM,NL,Common Stock,23.62,4481.267
ROOD NA Equity,Roodmicrotec NV,EUR,NA,NL,Common Stock,0.1995,66987.8
1AE GR Equity,Argenx SE,EUR,GR,NL,Common Stock,289.3,1.066667
ENX NA Equity,Euronext NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
PHI1 GY Equity,Koninklijke Philips NV,EUR,GY,NL,Common Stock,23.635,26042.87
VALUE NA Equity,Value8 NV,EUR,NA,NL,Common Stock,6.48,2113.9
P7V GR Equity,Photon Energy NV,EUR,GR,NL,Common Stock,2.204,1811.733
WLSNC EU Equity,Wolters Kluwer NV,EUR,EU,NL,Common Stock,90.8,1348392
ARCADA S1 Equity,Arcadis NV,EUR,S1,NL,Common Stock,#N/A N/A,0
ENXP I2 Equity,Euronext NV,EUR,I2,NL,Common Stock,80.6,101128.6
AALBF US Equity,Aalberts NV,USD,US,NL,Common Stock,46.915,33.16666794
KRNV IT Equity,Kardan NV,ILs,IT,NL,Common Stock,4.7,131594.7
NXPI UQ Equity,NXP Semiconductors NV,USD,UQ,NL,Common Stock,189.76,1310773
MRUS UQ Equity,Merus NV,USD,UQ,NL,Common Stock,18.56,89344.66406
INGA IM Equity,ING Groep NV,EUR,IM,NL,Common Stock,10.486,16982.77
NEDSE NA Equity,MKB Nedsense N V,EUR,NA,NL,Common Stock,0.1495,22741.63
ASME GY Equity,ASML Holding NV,EUR,GY,NL,Common Stock,535.4,4488.233
TKWYGBX EU Equity,Just Eat Takeaway.com NV,GBp,EU,NL,Common Stock,1762.6,231592.8
VNX GY Equity,NXP Semiconductors NV,EUR,GY,NL,Common Stock,177,501.0667
0QW0 LI Equity,Argenx SE,EUR,LI,NL,Common Stock,293.65,2954.5
2NN GR Equity,NN Group NV,EUR,GR,NL,Common Stock,46.32,212.4333
BSIB BW Equity,BE Semiconductor Industries NV,CHF,BW,NL,Common Stock,60.351,10
CRBN EU Equity,Corbion NV,EUR,EU,NL,Common Stock,33.72,189593.4
MSR US Equity,Mauser Group NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
NXFILEUR EU Equity,NX Filtration NV,EUR,EU,NL,Common Stock,10.5,28934.43
DSM2 GR Equity,Koninklijke DSM NV,EUR,GR,NL,Common Stock,157.85,113
JDEPF US Equity,JDE Peet's NV,USD,US,NL,Common Stock,28,199.0666656
TNTC GR Equity,PostNL NV,EUR,GR,NL,Common Stock,3.163,7630.2
AHODF US Equity,Koninklijke Ahold Delhaize NV,USD,US,NL,Common Stock,27.8,1189.43335
BESVF US Equity,BE Semiconductor Industries NV,USD,US,NL,Common Stock,55.3,232.3666687
KDS NA Equity,Kiadis Pharma NV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
MLPRX FP Equity,Parx Materials NV,EUR,FP,NL,Common Stock,0.93,226.3
ASMLA S1 Equity,ASML Holding NV,EUR,S1,NL,Common Stock,531.75,748.9
HCG US Equity,hear.com NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
JOM NM Equity,Jomed NV,EUR,NM,NL,Common Stock,#N/A N/A,#N/A N/A
ALPER FP Equity,LA Perla Fashion Holding NV,EUR,FP,NL,Common Stock,3.58,7.666667
ARCVF US Equity,Arcadis NV,USD,US,NL,Common Stock,38.94,552.833313
AVTXF US Equity,Avantium N.V.,USD,US,NL,Common Stock,3.2,1502.466675
BFITEUR EU Equity,Basic-Fit NV,EUR,EU,NL,Common Stock,39.6,241675.9
EURX US Equity,Eurand NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
AMG EU Equity,AMG Advanced Metallurgical Group NV,EUR,EU,NL,Common Stock,34.6,530332.8
PTHN US Equity,Patheon BV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
TEAD US Equity,Teads NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
SAE GF Equity,Shop Apotheke Europe NV,EUR,GF,NL,Common Stock,100.45,794.1
5IX GR Equity,MPC Energy Solutions NV,EUR,GR,NL,Common Stock,2.155,201.6667
FRFBF US Equity,ForFarmers NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
NWB AU Equity,Nederlandse Waterschapsbank NV,AUD,AU,NL,Common Stock,#N/A N/A,#N/A N/A
ASRNLEUR EU Equity,ASR Nederland NV,EUR,EU,NL,Common Stock,42.57,1091349
BSFFF US Equity,Basic-Fit NV,USD,US,NL,Common Stock,41,2079.899902
PROSF US Equity,Prosus NV,USD,US,NL,Common Stock,51.69,6791.033203
QIA EU Equity,QIAGEN NV,EUR,EU,NL,Common Stock,42.46,1044925
ASMLA I2 Equity,ASML Holding NV,EUR,I2,NL,Common Stock,535.3,370325.6
TKAYF US Equity,Just Eat Takeaway.com NV,USD,US,NL,Common Stock,21.815,5721.166504
MWTRF US Equity,Meltwater NV,USD,US,NL,Common Stock,#N/A N/A,#N/A N/A
SBFFF US Equity,SBM Offshore NV,USD,US,NL,Common Stock,16.16,472.7666626
WKLA S1 Equity,Wolters Kluwer NV,EUR,S1,NL,Common Stock,90.99,579.0667
AMUND NA Equity,Almunda Professionals NV,EUR,NA,NL,Common Stock,1.27,2112.8
WES NA Equity,Wessanen BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
1167Z NA Equity,ABB Finance BV,EUR,NA,NL,Common Stock,#N/A N/A,#N/A N/A
